spectral_axis,intensity,uncertainty
5076.46,400.28302,405.526764
5077.93,411.938629,413.373352
5079.4,393.076782,387.963623
5080.87,365.17392,364.451721
5082.34,414.232574,412.796143
5083.81,352.679657,351.479401
5085.28,342.116058,342.038788
5086.75,379.425568,377.489319
5088.21,381.737823,383.700409
5089.68,370.891266,373.031128
5091.15,359.119019,367.030701
5092.62,373.735809,376.346375
5094.09,411.963013,413.899323
5095.56,359.543182,350.930939
5097.03,377.684998,379.840973
5098.5,352.806854,353.385071
5099.97,324.066864,328.050537
5101.44,346.144196,347.665283
5102.91,344.573608,346.064453
5104.38,356.591949,360.675781
5105.85,338.056335,333.894806
5107.32,372.064484,377.125946
5108.79,380.887146,377.43811
5110.26,384.493164,382.51355
5111.73,365.790405,368.022919
5113.2,374.282837,374.476837
5114.67,330.493652,335.856262
5116.14,353.196136,351.720734
5117.61,376.586853,375.344757
5119.08,318.680054,319.322784
5120.55,323.113464,326.89621
5122.02,347.784302,347.959473
5123.49,360.847107,362.810516
5124.96,353.555115,357.050781
5126.43,384.458893,382.828979
5127.9,383.329468,380.139618
5129.37,358.45459,354.204803
5130.84,347.004852,344.589111
5132.31,336.627197,332.605743
5133.78,373.820312,372.42691
5135.25,354.801483,349.618225
5136.72,335.877777,336.522858
5138.19,383.723236,381.30304
5139.66,362.733337,365.52359
5141.13,376.066925,376.560059
5142.6,316.564453,317.758698
5144.07,338.91217,335.613861
5145.54,360.565063,358.606964
5147.01,366.910706,357.092926
5148.48,346.078491,343.696533
5149.95,361.076355,353.059235
5151.42,409.002533,408.960358
5152.89,397.120331,399.693848
5154.36,340.527863,340.055756
5155.83,371.563965,375.470856
5157.3,323.269806,315.00589
5158.77,348.291718,352.893555
5160.24,400.700317,400.61618
5161.71,387.954224,380.408905
5163.18,355.789246,356.684357
5164.65,347.607727,348.241577
5166.12,414.772675,416.230988
5167.59,380.047302,379.754578
5169.06,378.490051,379.069153
5170.53,354.768158,348.492645
5172,376.621796,376.00824
5173.47,362.434174,361.218292
5174.94,346.230591,351.276306
5176.41,476.066772,480.202606
5177.88,423.203278,419.350403
5179.35,427.630646,421.089478
5180.82,411.890381,411.06958
5182.29,363.771088,362.317444
5183.76,337.075073,336.296906
5185.23,395.045776,397.266815
5186.69,377.724762,373.011566
5188.16,380.583649,379.830566
5189.63,380.776886,376.713715
5191.1,369.901123,365.18161
5192.57,375.852631,377.819244
5194.04,412.911804,408.575348
5195.51,374.497345,374.578583
5196.98,353.043365,351.33728
5198.45,354.226929,352.98111
5199.92,318.490173,317.242798
5201.39,413.722778,410.131958
5202.86,327.33252,330.222473
5204.33,359.915466,367.73584
5205.8,364.267426,358.548706
5207.27,381.572723,379.403259
5208.74,352.659698,353.900177
5210.21,380.247345,372.386566
5211.68,372.950012,370.224548
5213.15,378.192841,371.980652
5214.62,395.533783,401.519348
5216.09,421.667816,423.378448
5217.56,357.078857,362.766205
5219.03,367.506439,372.792175
5220.5,355.815857,356.254608
5221.97,425.783813,428.367584
5223.44,391.452362,387.702972
5224.91,372.041412,376.108337
5226.38,365.826599,366.440338
5227.85,384.82605,389.075745
5229.32,412.67749,408.230927
5230.79,365.02243,362.655426
5232.26,399.96347,403.738983
5233.73,357.85437,358.345612
5235.2,373.138336,377.848145
5236.67,352.907867,353.328644
5238.14,419.135559,421.823669
5239.61,427.651947,427.295624
5241.08,382.091736,381.617432
5242.55,365.220337,365.651459
5244.02,386.375244,382.53476
5245.49,381.739716,390.953003
5246.96,339.825745,341.605469
5248.43,378.3862,374.119293
5249.9,375.129639,368.201172
5251.37,358.156708,349.23114
5252.84,368.737762,366.717773
5254.31,361.502838,356.957825
5255.78,325.266541,333.581207
5257.25,423.751862,427.670837
5258.72,421.896118,418.937531
5260.19,362.528564,371.835388
5261.66,389.030365,387.576111
5263.13,422.367523,422.693481
5264.6,398.391174,396.961029
5266.07,332.222534,328.785217
5267.54,337.081268,338.304443
5269.01,389.822357,391.185242
5270.48,391.343628,381.633942
5271.95,400.733734,402.209961
5273.42,346.22229,344.61026
5274.89,398.537354,394.017487
5276.36,420.416534,427.498718
5277.83,408.032043,410.189484
5279.3,412.128754,406.545563
5280.77,387.745483,386.591858
5282.24,368.754425,366.689606
5283.71,350.986938,340.852203
5285.18,378.105408,372.642212
5286.64,369.471008,368.764435
5288.11,337.599365,330.716553
5289.58,320.612488,319.52478
5291.05,259.651215,258.276886
5292.52,284.209961,284.882019
5293.99,298.292694,296.680603
5295.46,353.429047,353.727295
5296.93,328.948059,326.405487
5298.4,347.12738,349.475098
5299.87,372.272919,374.605133
5301.34,429.539429,422.269867
5302.81,325.915924,322.524567
5304.28,325.824768,324.635529
5305.75,300.018219,301.943237
5307.22,334.092682,347.923737
5308.69,316.235016,317.612335
