spectral_axis,intensity
6632.3,1.41E-15
6636.3,1.40E-15
6640.3,1.41E-15
6644.3,1.39E-15
6648.4,1.41E-15
6652.4,1.41E-15
6656.4,1.41E-15
6660.4,1.41E-15
6664.5,1.40E-15
6668.5,1.42E-15
6672.5,1.42E-15
6676.5,1.42E-15
6680.6,1.41E-15
6684.6,1.41E-15
6688.6,1.42E-15
6692.6,1.41E-15
6696.7,1.42E-15
6700.7,1.40E-15
6704.7,1.41E-15
6708.7,1.42E-15
6712.7,1.42E-15
6716.8,1.41E-15
6720.8,1.41E-15
6724.8,1.42E-15
6728.8,1.42E-15
6732.9,1.42E-15
6736.9,1.44E-15
6740.9,1.42E-15
6744.9,1.43E-15
6749,1.42E-15
6753,1.42E-15
6757,1.45E-15
6761,1.45E-15
6765.1,1.52E-15
6769.1,1.50E-15
6773.1,1.47E-15
6777.1,1.48E-15
6781.2,1.47E-15
6785.2,1.49E-15
6789.2,1.51E-15
6793.2,1.50E-15
6797.2,1.53E-15
6801.3,1.53E-15
6805.3,1.57E-15
6809.3,1.54E-15
6813.3,1.55E-15
6817.4,1.54E-15
6821.4,1.53E-15
6825.4,1.53E-15
6829.4,1.52E-15
6833.5,1.49E-15
6837.5,1.47E-15
6841.5,1.48E-15
6845.5,1.46E-15
6849.6,1.47E-15
6853.6,1.45E-15
6857.6,1.44E-15
6861.6,1.43E-15
6865.6,1.35E-15
6869.7,1.13E-15
6873.7,1.07E-15
6877.7,1.16E-15
6881.7,1.28E-15
6885.8,1.29E-15
6889.8,1.25E-15
6893.8,1.25E-15
6897.8,1.26E-15
6901.9,1.27E-15
6905.9,1.30E-15
6909.9,1.31E-15
6913.9,1.31E-15
6918,1.32E-15
6922,1.35E-15
6926,1.36E-15
6930,1.36E-15
6934.1,1.35E-15
6938.1,1.35E-15
6942.1,1.35E-15
6946.1,1.37E-15
6950.1,1.37E-15
6954.2,1.35E-15
6958.2,1.36E-15
6962.2,1.34E-15
6966.2,1.35E-15
6970.3,1.36E-15
6974.3,1.34E-15
6978.3,1.34E-15
6982.3,1.33E-15
6986.4,1.34E-15
6990.4,1.32E-15
6994.4,1.33E-15
6998.4,1.34E-15
7002.5,1.34E-15
7006.5,1.34E-15
7010.5,1.34E-15
7014.5,1.36E-15
7018.6,1.34E-15
7022.6,1.37E-15
7026.6,1.36E-15
7030.6,1.35E-15
7034.6,1.34E-15
7038.7,1.34E-15
7042.7,1.32E-15
7046.7,1.34E-15
7050.7,1.33E-15
7054.8,1.33E-15
7058.8,1.34E-15
7062.8,1.32E-15
7066.8,1.32E-15
7070.9,1.32E-15
7074.9,1.32E-15
7078.9,1.33E-15
7082.9,1.32E-15
7087,1.32E-15
7091,1.34E-15
7095,1.33E-15
7099,1.32E-15
7103.1,1.33E-15
7107.1,1.33E-15
7111.1,1.33E-15
7115.1,1.32E-15
7119.1,1.34E-15
7123.2,1.34E-15
7127.2,1.32E-15
7131.2,1.33E-15
7135.2,1.32E-15
7139.3,1.33E-15
7143.3,1.32E-15
7147.3,1.31E-15
7151.3,1.31E-15
7155.4,1.30E-15
7159.4,1.30E-15
7163.4,1.30E-15
7167.4,1.28E-15
7171.5,1.28E-15
7175.5,1.27E-15
7179.5,1.28E-15
7183.5,1.27E-15
7187.5,1.25E-15
7191.6,1.25E-15
7195.6,1.27E-15
7199.6,1.27E-15
7203.6,1.27E-15
7207.7,1.29E-15
7211.7,1.32E-15
7215.7,1.33E-15
7219.7,1.33E-15
7223.8,1.34E-15
7227.8,1.36E-15
7231.8,1.35E-15
7235.8,1.34E-15
7239.9,1.32E-15
7243.9,1.34E-15
7247.9,1.35E-15
7251.9,1.35E-15
7256,1.34E-15
7260,1.37E-15
7264,1.35E-15
7268,1.33E-15
7272,1.35E-15
7276.1,1.34E-15
7280.1,1.33E-15
7284.1,1.34E-15
7288.1,1.36E-15
7292.2,1.33E-15
7296.2,1.36E-15
7300.2,1.37E-15
7304.2,1.38E-15
7308.3,1.37E-15
7312.3,1.36E-15
7316.3,1.37E-15
7320.3,1.39E-15
7324.4,1.39E-15
7328.4,1.41E-15
7332.4,1.41E-15
7336.4,1.40E-15
7340.5,1.39E-15
7344.5,1.41E-15
7348.5,1.40E-15
7352.5,1.41E-15
7356.5,1.40E-15
7360.6,1.38E-15
7364.6,1.38E-15
7368.6,1.39E-15
7372.6,1.42E-15
7376.7,1.41E-15
7380.7,1.42E-15
7384.7,1.41E-15
7388.7,1.42E-15
7392.8,1.40E-15
7396.8,1.39E-15
7400.8,1.40E-15
7404.8,1.41E-15
7408.9,1.39E-15
7412.9,1.40E-15
7416.9,1.39E-15
7420.9,1.39E-15
7425,1.42E-15
7429,1.42E-15
7433,1.43E-15
7437,1.44E-15
7441,1.45E-15
7445.1,1.44E-15
7449.1,1.47E-15
7453.1,1.48E-15
7457.1,1.50E-15
7461.2,1.51E-15
7465.2,1.53E-15
7469.2,1.52E-15
7473.2,1.54E-15
7477.3,1.56E-15
7481.3,1.58E-15
7485.3,1.63E-15
7489.3,1.63E-15
7493.4,1.65E-15
7497.4,1.66E-15
7501.4,1.72E-15
7505.4,1.73E-15
7509.4,1.77E-15
7513.5,1.83E-15
7517.5,1.90E-15
7521.5,1.95E-15
7525.5,2.02E-15
7529.6,2.09E-15
7533.6,2.19E-15
